source_type	source_path	keyword	match_text	context
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Davis	Davis	as that area of- [21012:40] little of what 80 acres there on the south side from the mouth back [Camilla] of the Bloomfield hhm [Frank] huh Davis Hill there [21133:50] Francis (Frank) James O'Rourke: that was Banabila. They were [Banbilaras] or Ban.. [21187:30] Francis (Frank) James O
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Davis Hill	Davis Hill	as that area of- [21012:40] little of what 80 acres there on the south side from the mouth back [Camilla] of the Bloomfield hhm [Frank] huh Davis Hill there [21133:50] Francis (Frank) James O'Rourke: that was Banabila. They were [Banbilaras] or Ban.. [21187:30] Francis (Frank) James O'Rour
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	[Part 1] Frank O'Rourke speaks with Camilla Darling about the history and early European exploration of the area; enterprises such as the Bloomfield Sugar Mill; tin mining and timber getting; the establishment of the first Lutheran Mission and Ayton Provincial School as well as the overl
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	] neighbors the man that guy got the legs and they must be there. And [17778:40] Camilla Darling: down during the common really rash. The Bloomfield's and had a name as [17888:20] Francis (Frank) James O'Rourke: a sort of smugglers cause he line. Yes the Faraday you. Just [18001:50] don
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	[Part 2] Frank O'Rourke speaks with Camilla Darling about the history and early European exploration of the area; enterprises such as the Bloomfield Sugar Mill; tin mining and timber getting; the establishment of the first Lutheran Mission and Ayton Provincial School as well as the overl
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	the first Lutheran Mission and Ayton Provincial School as well as the overland mail route. --- [98:50] Side B. You were talking about the Bloomfield Sugar [Frank] Yeah [207:00] Sugar Mill formed in 1882 [Frank] [coughs] In 1882 [310:30] Francis (Frank) James O'Rourke: Yeah when he come t
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	[Frank] Yeah [207:00] Sugar Mill formed in 1882 [Frank] [coughs] In 1882 [310:30] Francis (Frank) James O'Rourke: Yeah when he come to the Bloomfield he joined [432:20] Francis (Frank) James O'Rourke: with some friends. He talked some friends into forming a company- [551:20] Francis (Fran
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	riends into forming a company- [551:20] Francis (Frank) James O'Rourke: form a company- [561:40] Francis (Frank) James O'Rourke: called The Bloomfield River Sugar Company and uh [695:00] Francis (Frank) James O'Rourke: took up [714:50] Francis (Frank) James O'Rourke: rural selections of la
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	ills, agricultural implements [2964:10] He brought a complete sugar crusher mill and he built a cutter to go between Cooktown [3073:50] and Bloomfield and to go out to the Reef and pick up lime to be crushed [3190:20] to use as mortar. The sawmill that he built, he- [3261:10] used to cut a
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	9124:30] Francis (Frank) James O'Rourke: bank at Mulgrave and that is the original ..them parts [9239:10] of the Mill that was built on the Bloomfield. [Camilla] I can remember Herbert Olufson saying, that parts of it were also- [9361:30] at the bottom on the River. [Frank] At the mouth of
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	es somebody made when it was we had transported they are to. Say [9659:40] Francis (Frank) James O'Rourke: um as you know the mouth of the Bloomfield River back in 1886, there some- [9774:20] Francis (Frank) James O'Rourke: id 6 they don't was. 24 foot of water so [9890:10] Francis (Frank
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	is, was that half of the fly wheel of one of the Mills- [10104:30] Francis (Frank) James O'Rourke: slipped off the boat in the mouth of the Bloomfield River, and it's still down there somewhere today. [10220:20] I wonder if that's the spot where everyone catches the barramundi [Frank] [lau
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	and let it settle in these pots and drain the molasses out and this is what I [15304:10] Francis (Frank) James O'Rourke: think was with the Bloomfield River Sugar Mill. That they let it [15428:30] Let it settle and they. That's right if you like. Said I'm dancing and that was [15545:00] C
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	s (Frank) James O'Rourke: was that area of- [21012:40] little of what 80 acres there on the south side from the mouth back [Camilla] of the Bloomfield hhm [Frank] huh Davis Hill there [21133:50] Francis (Frank) James O'Rourke: that was Banabila. They were [Banbilaras] or Ban.. [21187:30] F
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	and I was. The water water [21410:40] Francis (Frank) James O'Rourke: I've got there of uh- Louis Bauer wrote, and he referred to it as the Bloomfield [21526:30] Francis (Frank) James O'Rourke: River [21530:00] Francis (Frank) James O'Rourke: a very good do it as good rhythm missions dice
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	in the eye by guiding. Down and that bit as much for. The [22735:40] Francis (Frank) James O'Rourke: tobacco seed grown on Wyalla, in the Bloomfield- [22850:30] Francis (Frank) James O'Rourke: and uh that they made that they grew some of the finest cigar tobacco leaf and made [22964:00]
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	s that his grand- [25255:40] Francis (Frank) James O'Rourke: grandmother was a full bloodied Aboriginal of uh [25338:40] of the area of the Bloomfield area who was taken and trained [25449:20] as a house servant by Mrs. Annie Bauer back in the 1880s when they [25565:40] had a house on Moun
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	r painter from Victoria and did a lot of travelling- [26747:50] Camilla Darling: and uh she [26788:10] had quite an experience here on the Bloomfield didn't she? [Frank] Oh yes there was quite a bit of uh [26902:20] Francis (Frank) James O'Rourke: excitement in them days! [26932:50] Franc
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	k- [27764:00] Camilla Darling: up to Cooktown after the Plantation was closed, and then she came uh- [27852:20] Camilla Darling: um down to Bloomfield by boat, and was dropped off at the Osmondsen's- [27972:40] Camilla Darling: was dropped off at the Osmond's and. He did that the mouth of
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	[Part 3] Frank O'Rourke speaks with Camilla Darling about the history and early European exploration of the area; enterprises such as the Bloomfield Sugar Mill; tin mining and timber getting; the establishment of the first Lutheran Mission and Ayton Provincial School as well as the overl
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	Frank] No, no. [Camilla] You'd probably find one stuffed- [2952:40] up in the Victorian- [Frank] Possibly. [Camilla] Museum that came from Bloomfield. [Frank] Yes, he done that trip- [3066:20] Francis (Frank) James O'Rourke: but I never found out the real truth of the trip. What amazed me
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	ut there being long- [4318:50] Camilla Darling: logs seen- [4325:19] Camilla Darling: in the Amojen Creek ready to be floated off up to the Bloomfield River [4440:20] Camilla Darling: where there was a Mill. [4459:40] Francis (Frank) James O'Rourke: Yes, uh they had uh they pulled a lot of
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	es O'Rourke: which is the true one. They had a sugar..they had a timber Mill [5365:40] Francis (Frank) James O'Rourke: on the banks of the Bloomfield, uh just up past [5479:20] Francis (Frank) James O'Rourke: about a mile upstream. Just a little bit south... down stream from [5588:30] Fra
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	eam. Just a little bit south... down stream from [5588:30] Francis (Frank) James O'Rourke: from where the Mill....the wharf is today on the Bloomfield you know. [5699:50] Francis (Frank) James O'Rourke: Pre-cut timber, and it was shipped out to all the- [5819:40] Francis (Frank) James O'Ro
transcript	resources/oral-histories/OH55_01_Frank_ORourke.md	Bloomfield	Bloomfield	a] Maybe we could talk about the [13834:10] Camilla Darling: the mission, the first mission that was started up in the head waters near the Bloomfield Falls- [13945:40] [.Falls.] [Frank] Yes now 18... 1886 [14062:30] [Camilla] And one of the Bauers was the first superintendent? [Frank] Yes
